X,Result
-9.734000,-1.049791
-9.733000,-1.049456
-9.732000,-1.049123
-9.731000,-1.048790
-9.730000,-1.048460
-9.729000,-1.048130
-9.728000,-1.047801
-9.727000,-1.047474
-9.726000,-1.047148
-9.725000,-1.046824
-9.724000,-1.046500
-9.723000,-1.046178
-9.722000,-1.045857
-9.721000,-1.045537
-9.720000,-1.045219
-9.719000,-1.044901
-9.718000,-1.044585
-9.717000,-1.044271
-9.716000,-1.043957
-9.715000,-1.043645
-9.714000,-1.043334
-9.713000,-1.043024
-9.712000,-1.042715
-9.711000,-1.042408
-9.710000,-1.042102
-9.709000,-1.041797
-9.708000,-1.041493
-9.707000,-1.041191
-9.706000,-1.040889
-9.705000,-1.040589
-9.704000,-1.040290
-9.703000,-1.039993
-9.702000,-1.039696
-9.701000,-1.039401
-9.700000,-1.039107
-9.699000,-1.038814
-9.698000,-1.038522
-9.697000,-1.038232
-9.696000,-1.037943
-9.695000,-1.037655
-9.694000,-1.037368
-9.693000,-1.037082
-9.692000,-1.036798
-9.691000,-1.036515
-9.690000,-1.036233
-9.689000,-1.035952
-9.688000,-1.035672
-9.687000,-1.035394
-9.686000,-1.035116
-9.685000,-1.034840
-9.684000,-1.034565
-9.683000,-1.034291
-9.682000,-1.034019
-9.681000,-1.033747
-9.680000,-1.033477
-9.679000,-1.033208
-9.678000,-1.032940
-9.677000,-1.032673
-9.676000,-1.032408
-9.675000,-1.032144
-9.674000,-1.031880
-9.673000,-1.031618
-9.672000,-1.031357
-9.671000,-1.031098
-9.670000,-1.030839
-9.669000,-1.030582
-9.668000,-1.030326
-9.667000,-1.030070
-9.666000,-1.029817
-9.665000,-1.029564
-9.664000,-1.029312
-9.663000,-1.029062
-9.662000,-1.028812
-9.661000,-1.028564
-9.660000,-1.028317
-9.659000,-1.028071
-9.658000,-1.027827
-9.657000,-1.027583
-9.656000,-1.027341
-9.655000,-1.027099
-9.654000,-1.026859
-9.653000,-1.026620
-9.652000,-1.026382
-9.651000,-1.026145
-9.650000,-1.025910
-9.649000,-1.025675
-9.648000,-1.025442
-9.647000,-1.025210
-9.646000,-1.024979
-9.645000,-1.024749
-9.644000,-1.024520
-9.643000,-1.024292
-9.642000,-1.024066
-9.641000,-1.023840
-9.640000,-1.023616
-9.639000,-1.023393
-9.638000,-1.023171
-9.637000,-1.022950
-9.636000,-1.022730
-9.635000,-1.022511
-9.634000,-1.022293
-9.633000,-1.022077
-9.632000,-1.021861
-9.631000,-1.021647
-9.630000,-1.021434
-9.629000,-1.021222
-9.628000,-1.021011
-9.627000,-1.020801
-9.626000,-1.020592
-9.625000,-1.020385
-9.624000,-1.020178
-9.623000,-1.019973
-9.622000,-1.019769
-9.621000,-1.019565
-9.620000,-1.019363
-9.619000,-1.019162
-9.618000,-1.018962
-9.617000,-1.018763
-9.616000,-1.018566
-9.615000,-1.018369
-9.614000,-1.018174
-9.613000,-1.017979
-9.612000,-1.017786
-9.611000,-1.017593
-9.610000,-1.017402
-9.609000,-1.017212
-9.608000,-1.017023
-9.607000,-1.016835
-9.606000,-1.016648
-9.605000,-1.016463
-9.604000,-1.016278
-9.603000,-1.016094
-9.602000,-1.015912
-9.601000,-1.015731
-9.600000,-1.015550
-9.599000,-1.015371
-9.598000,-1.015193
-9.597000,-1.015016
-9.596000,-1.014840
-9.595000,-1.014665
-9.594000,-1.014491
-9.593000,-1.014318
-9.592000,-1.014146
-9.591000,-1.013976
-9.590000,-1.013806
-9.589000,-1.013638
-9.588000,-1.013470
-9.587000,-1.013304
-9.586000,-1.013139
-9.585000,-1.012974
-9.584000,-1.012811
-9.583000,-1.012649
-9.582000,-1.012488
-9.581000,-1.012328
-9.580000,-1.012169
-9.579000,-1.012011
-9.578000,-1.011854
-9.577000,-1.011699
-9.576000,-1.011544
-9.575000,-1.011390
-9.574000,-1.011238
-9.573000,-1.011086
-9.572000,-1.010936
-9.571000,-1.010787
-9.570000,-1.010638
-9.569000,-1.010491
-9.568000,-1.010345
-9.567000,-1.010199
-9.566000,-1.010055
-9.565000,-1.009912
-9.564000,-1.009770
-9.563000,-1.009629
-9.562000,-1.009489
-9.561000,-1.009351
-9.560000,-1.009213
-9.559000,-1.009076
-9.558000,-1.008940
-9.557000,-1.008805
-9.556000,-1.008672
-9.555000,-1.008539
-9.554000,-1.008408
-9.553000,-1.008277
-9.552000,-1.008148
-9.551000,-1.008019
-9.550000,-1.007892
-9.549000,-1.007765
-9.548000,-1.007640
-9.547000,-1.007516
-9.546000,-1.007393
-9.545000,-1.007270
-9.544000,-1.007149
-9.543000,-1.007029
-9.542000,-1.006910
-9.541000,-1.006792
-9.540000,-1.006675
-9.539000,-1.006559
-9.538000,-1.006444
-9.537000,-1.006330
-9.536000,-1.006217
-9.535000,-1.006105
-9.534000,-1.005995
-9.533000,-1.005885
-9.532000,-1.005776
-9.531000,-1.005668
-9.530000,-1.005561
-9.529000,-1.005456
-9.528000,-1.005351
-9.527000,-1.005248
-9.526000,-1.005145
-9.525000,-1.005043
-9.524000,-1.004943
-9.523000,-1.004843
-9.522000,-1.004745
-9.521000,-1.004647
-9.520000,-1.004551
-9.519000,-1.004455
-9.518000,-1.004361
-9.517000,-1.004268
-9.516000,-1.004175
-9.515000,-1.004084
-9.514000,-1.003994
-9.513000,-1.003904
-9.512000,-1.003816
-9.511000,-1.003729
-9.510000,-1.003642
-9.509000,-1.003557
-9.508000,-1.003473
-9.507000,-1.003390
-9.506000,-1.003308
-9.505000,-1.003226
-9.504000,-1.003146
-9.503000,-1.003067
-9.502000,-1.002989
-9.501000,-1.002912
-9.500000,-1.002836
-9.499000,-1.002761
-9.498000,-1.002687
-9.497000,-1.002614
-9.496000,-1.002542
-9.495000,-1.002471
-9.494000,-1.002401
-9.493000,-1.002332
-9.492000,-1.002264
-9.491000,-1.002197
-9.490000,-1.002131
-9.489000,-1.002066
-9.488000,-1.002002
-9.487000,-1.001939
-9.486000,-1.001877
-9.485000,-1.001816
-9.484000,-1.001756
-9.483000,-1.001697
-9.482000,-1.001639
-9.481000,-1.001583
-9.480000,-1.001527
-9.479000,-1.001472
-9.478000,-1.001418
-9.477000,-1.001365
-9.476000,-1.001313
-9.475000,-1.001262
-9.474000,-1.001213
-9.473000,-1.001164
-9.472000,-1.001116
-9.471000,-1.001069
-9.470000,-1.001023
-9.469000,-1.000979
-9.468000,-1.000935
-9.467000,-1.000892
-9.466000,-1.000850
-9.465000,-1.000809
-9.464000,-1.000770
-9.463000,-1.000731
-9.462000,-1.000693
-9.461000,-1.000656
-9.460000,-1.000621
-9.459000,-1.000586
-9.458000,-1.000552
-9.457000,-1.000519
-9.456000,-1.000488
-9.455000,-1.000457
-9.454000,-1.000427
-9.453000,-1.000398
-9.452000,-1.000371
-9.451000,-1.000344
-9.450000,-1.000318
-9.449000,-1.000293
-9.448000,-1.000270
-9.447000,-1.000247
-9.446000,-1.000225
-9.445000,-1.000205
-9.444000,-1.000185
-9.443000,-1.000166
-9.442000,-1.000148
-9.441000,-1.000132
-9.440000,-1.000116
-9.439000,-1.000101
-9.438000,-1.000087
